"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"1",="2330","台積電","市","01/13","1710","+20","+1.18","10","2,593","2,593","443,446","38.9","31.4","有","有","有","有","","","半導體業","魏哲家","總裁: 魏哲家"
"2",="2317","鴻海","市","01/13","226.5","-2","-0.88","10","1,396","1,396","31,629","51.9","34.6","有","有","有","有","","","其他電子業","劉揚偉","劉揚偉"
"3",="2308","台達電","市","01/13","1030","-25","-2.37","10","260","259.8","26,755","50.4","37.1","有","","有","有","","","電子零組件業","鄭平","張訓海"
"4",="2454","聯發科","市","01/13","1485","+40","+2.77","10","160","160.4","23,818","28.6","24.5","有","有","有","","","","半導體業","蔡明介","陳冠州"
"5",="2881","富邦金","市","01/13","94.2","-0.8","-0.84","10","1,561","1,401","13,195","24.1","24.1","有","有","有","有","","有","金控業","蔡明興","韓蔚廷"
"6",="3711","日月光投控","市","01/13","289.5","+6.5","+2.3","10","444","442.2","12,802","7.7","7.71","有","有","有","有","","","半導體業","張虔生","張洪本"
"7",="2882","國泰金","市","01/13","77.4","+1.3","+1.71","10","1,620","1,467","11,354","24","24","有","有","有","有","","有","金控業","蔡宏圖","李長庚"
"8",="0050","元大台灣50","市","01/13","70.7","+0.35","+0.5","","","1,559","11,020","22.6","22.5","有","有","有","","","","國內成分股ETF","劉宗聖","陳沛宇"
"9",="2382","廣達","市","01/13","279","-1.5","-0.53","10","386","386.3","10,777","37.7","27","有","有","","","","","電腦及週邊設備業","林百里","梁次震"
"10",="2412","中華電","市","01/13","133.5","0","0","10","776","775.7","10,356","29.6","25.2","有","有","有","有","","","通信網路業","簡志誠","林榮賜"
"11",="2891","中信金","市","01/13","49.65","-0.35","-0.7","10","2,015","1,965","9,756","23.7","23.7","有","有","有","有","","有","金控業","顏文隆","高麗雪"
"12",="6669","緯穎","市","01/13","3900","-195","-4.76","10","18.6","18.58","7,248","13.9","6.8","有","","有","有","","","電腦及週邊設備業","洪麗寗","林威遠"
"13",="2408","南亞科","市","01/13","230","-9","-3.77","10","310","309.9","7,127","30.9","25.4","有","","有","有","","","半導體業","鄒明仁","李培瑛"
